year,X1,X2,X3,X4,X5,X6,Y
1970,36.46,11.35,5.72,85.07,105.9,25.95,822534450
1971,34.95,10.63,5.43,80.7,105.82,23.4,843285424
1972,33.44,9.9,5.14,76.32,105.78,22.27,862840403
1973,31.93,9.18,4.85,71.95,105.86,20.99,881652080
1974,30.04,8.77,4.48,68.56,105.88,17.57,899367640
1975,28.15,8.37,4.11,65.17,106.04,15.77,915124661
1976,26.27,7.96,3.75,61.78,106.15,12.72,929375924
1977,24.38,7.55,3.38,58.39,106.17,12.12,942581333
1978,22.49,7.15,3.01,55,106.16,12,955138943
1979,22.23,7.04,2.91,52.93,106,11.61,968298969
1980,21.97,6.93,2.81,50.86,105.98,11.87,982372466
1981,21.71,6.82,2.72,48.79,106.11,14.55,997259502
1982,21.45,6.71,2.62,46.72,106.19,15.68,1013483166
1983,21.19,6.61,2.52,44.64,106.61,13.29,1029226907
1984,21.91,6.63,2.56,44.17,106.61,13.08,1044172197
1985,22.62,6.65,2.6,43.69,107.04,14.26,1060239979
1986,23.34,6.66,2.65,43.22,107.04,15.57,1077770523
1987,24.05,6.68,2.69,42.74,106.19,16.61,1096851843
1988,24.77,6.7,2.73,42.27,106.27,15.73,1115889802
1989,23.3,6.7,2.55,42.07,106.4,15.04,1134414723
1990,21.83,6.7,2.37,41.87,106.27,14.39,1153704252
1991,20.36,6.7,2.19,41.67,105.52,12.98,1170626171
1992,18.89,6.7,2.01,41.47,104.27,11.5,1183813389
1993,17.42,6.7,1.83,41.27,104.18,11.45,1195855558
1994,16.85,6.69,1.79,40.03,104.51,11.21,1207286675
1995,16.28,6.69,1.75,38.79,104.21,10.55,1218144426
1996,15.71,6.68,1.7,37.54,103.34,10.42,1228298836
1997,15.14,6.68,1.66,36.3,104.36,10.06,1237801448
1998,14.57,6.67,1.62,35.06,105.13,9.14,1246836105
1999,14.27,6.67,1.62,33.46,105.89,8.18,1255433236
2000,13.98,6.66,1.62,31.87,106.74,7.58,1264099069
2001,13.68,6.66,1.61,30.27,106,6.95,1272739582
2002,13.38,6.65,1.61,28.67,106.06,6.45,1280926120
2003,13.08,6.65,1.61,27.08,106.2,6.01,1288873367
2004,13.03,6.69,1.61,25.28,106.29,5.87,1296816711
2005,12.97,6.73,1.61,23.49,106.3,5.89,1304887562
2006,12.92,6.77,1.62,21.69,106.29,5.28,1313086567
2007,12.86,6.81,1.62,19.9,106.19,5.17,1321513224
2008,12.81,6.85,1.62,18.11,106.07,5.08,1330167148
2009,12.79,6.88,1.62,16.94,105.93,4.87,1339125595
2010,12.77,6.91,1.63,15.77,105.21,4.79,1348191368
2011,12.75,6.94,1.63,14.61,105.18,4.79,1357095481
2012,12.73,6.97,1.64,13.44,105.13,4.95,1366560818
2013,12.71,7,1.64,12.28,105.1,4.92,1376100308
2014,12.55,7.03,1.65,11.8,105.06,5.21,1385189668
2015,12.4,7.05,1.66,11.32,105.02,4.96,1393715448
2016,12.24,7.07,1.67,10.85,104.98,5.86,1401889681
2017,12.09,7.1,1.68,10.37,104.81,5.32,1410275957
2018,11.93,7.12,1.69,9.89,104.64,3.81,1417069468
2019,11.67,7.26,1.69,9.6,104.6,3.34,1421864031
